week,median_time_to_initial_assessment_minutes,notes
2026-W01,42,synthetic baseline
2026-W02,41,synthetic baseline
2026-W03,43,synthetic baseline
2026-W04,40,synthetic baseline
2026-W05,39,synthetic intervention week 1
2026-W06,38,synthetic intervention week 2
2026-W07,36,synthetic intervention week 3
2026-W08,35,synthetic intervention week 4
2026-W09,34,synthetic intervention week 5
2026-W10,32,synthetic intervention week 6
2026-W11,31,synthetic intervention week 7
2026-W12,30,synthetic intervention week 8
