week,complete_sepsis_screen_percent,notes
2026-W01,52,synthetic baseline
2026-W02,55,synthetic baseline
2026-W03,54,synthetic baseline
2026-W04,56,synthetic baseline
2026-W05,61,synthetic intervention week 1
2026-W06,64,synthetic intervention week 2
2026-W07,68,synthetic intervention week 3
2026-W08,70,synthetic intervention week 4
2026-W09,73,synthetic intervention week 5
2026-W10,75,synthetic intervention week 6
2026-W11,78,synthetic intervention week 7
2026-W12,80,synthetic intervention week 8
